source_id,ra,dec,pmra,pmdec,parallax,radial_velocity,mass,ra_error,dec_error,pmra_error,pmdec_error,parallax_error,radial_velocity_error,mass_error
66555573432261376,57.553681045693764,24.3516155481885,17.833343166460896,-44.351060633719605,7.243086363411307,-11.263253,0.54,0.023194987,0.017280415,0.031035457,0.026031284,0.02929124,6.65613,0.02
68364544935515392,55.516250034147305,24.71230890277608,22.205938636468435,-46.62401513784415,7.815114208797574,4.740833,0.61,0.16440172,0.14901008,0.227048,0.17457345,0.19438508,7.6009326,0.02
66584332530000512,58.5372425847833,24.333489202385312,16.628944777293775,-46.42381782072467,7.367492017884601,6.1494336,0.78,0.02449964,0.016122207,0.030075911,0.020017002,0.02573314,1.152945,0.02
64933759417769984,57.18299036630866,23.2596150203104,19.293731697883047,-44.88499205938077,7.318904571155356,7.639575,1.62,0.03042134,0.019152721,0.03854353,0.023564722,0.031011451,0.39881083,0.06
64956127609464320,56.45349543711508,23.14694333291917,20.513910371784853,-45.699760208111584,7.4211396976655095,7.8136744,2.45,0.039313566,0.026078094,0.05286644,0.033643007,0.041989394,1.3565793,0.12
65010239900405504,56.77834370556732,23.71495241087836,19.425567035566697,-44.40913844613404,7.3503939491290735,8.528288,0.8,0.01424766,0.010815544,0.017522084,0.012399845,0.015928173,0.92294705,0.02
65063707949772544,55.852346485569406,23.225742763279882,20.847828714748495,-41.444422185488314,7.180158190946608,6.874217,1.07,0.022687463,0.018272556,0.029397562,0.021356398,0.028207911,0.64384764,0.03
66733552578791296,56.655542236671856,24.34333893209654,22.38024379037781,-45.51618836763191,7.4103373667151455,6.8652053,0.74,0.06361707,0.0400972,0.10874575,0.06264245,0.06050931,3.2270114,0.02
65163797868281088,56.358294965270254,23.430022924426066,16.15513381249811,-35.83494257628211,5.95676284789145,3.9185615,0.81,0.013370161,0.010611392,0.018952651,0.013794754,0.015438841,2.5181413,0.02
66781316909399424,56.531386444741095,24.3741778959859,18.93156538453851,-47.08706292205727,7.432728772573676,3.9304402,0.57,0.02169522,0.013971638,0.031248005,0.018392202,0.021524457,4.139731,0.01
65207709611941376,56.85182143112869,23.9144778917631,20.049108040161617,-44.13258985442616,7.220987406121659,-1.8567859,2.16,0.030519485,0.022986645,0.041598886,0.02927154,0.03438313,2.4416814,0.11
65212691775922048,56.8257781580884,24.036218065276202,22.03232056608309,-44.73567467390483,7.340276386730736,-15.318983,0.61,0.07639606,0.06386818,0.09045101,0.07611573,0.076809995,4.0302744,0.02
66798496781121792,56.47708455753871,24.55430537374798,20.33140314206862,-46.022054798281474,7.3052753639807255,11.792832,3.47,0.07268643,0.04780104,0.094874665,0.06275386,0.0838769,0.5999517,0.15
66801623514684416,56.54130256139035,24.673394039869994,20.49684982104614,-47.161336891120584,7.375605230542337,,0.55,0.03695707,0.023358995,0.04969894,0.030343957,0.040048365,,0.01
65230764996027776,56.56677710161743,24.189728475046618,19.60554501391406,-43.75937028293768,7.399226753718945,,1.66,0.030415013,0.021396808,0.039749216,0.027051663,0.032742243,,0.06
66814302260735104,56.53250842192713,24.866692057387805,20.400114505231365,-45.428114276058864,6.985169861758208,,0.81,0.1054932,0.08037381,0.13998702,0.1042764,0.1235162,,0.02
65241313435901568,56.1334290890114,23.874849276465046,19.57888027760635,-45.42340532837509,7.367449998542193,15.866132,0.55,0.03554339,0.026848154,0.04786971,0.036977574,0.039420117,14.526879,0.01
65247704349267584,56.05452292932521,24.030615863047565,21.404856037527303,-45.88621865204381,7.594803806906587,4.2054543,0.93,0.017695986,0.012249984,0.022041071,0.015385619,0.019991616,0.51638615,0.03
65249250535404928,56.06105910286945,24.101914672074734,20.708631306878623,-43.43679844036549,7.1375867450273605,6.016562,0.98,0.015209513,0.011326394,0.019033784,0.014365265,0.017789356,0.9310077,0.03
65266494828710400,55.90298289326376,24.23211488843657,20.333375443219484,-46.5100729007747,7.314589696392642,-1.5722564,0.56,0.06938315,0.057953086,0.087707594,0.06587295,0.08198914,8.052981,0.01
65272821318002560,56.098224870637075,24.132439341642254,28.07065074649472,-43.097950669671924,7.363603299962179,6.376698,1.4,0.087244794,0.06735988,0.10553127,0.08180087,0.100038484,0.4192527,0.05
65282716922610944,56.407554166556594,24.33546030372484,21.074604762826485,-40.3750347976836,8.784935218338338,,2.18,0.41342223,0.26650903,0.54587805,0.34573755,0.46147794,,0.11
66873435368674944,57.357198601945704,24.937448375714208,22.75235582143761,-50.204893071517645,6.100790558654151,1.2235458,0.92,0.33327806,0.18956019,0.41949978,0.29047048,0.36860406,3.635814,0.03
66939848447027584,57.07039222938601,25.21491968688357,18.11105149210825,-45.7244672361417,7.358738230374514,9.11767,1.37,0.03006022,0.019866316,0.048222587,0.027914919,0.030612484,1.4625108,0.04
70035351636365824,56.469562481133345,25.861531694231786,20.432984796252477,-43.71042320473896,7.219855323807745,-10.871506,0.53,0.027908174,0.019109618,0.037030745,0.024847938,0.029352078,7.1151867,0.01
